nra,anio,cantidad_reportes
AEQME2802211,2006,1
AEQME2802211,2010,1
AEQME2802211,2011,1
AEQME2802211,2012,1
AEQME2802211,2013,1
AEQME2802211,2019,1
AEQME2802211,2020,1
AEQME2802211,2022,1
AER1505100108,2017,1
AER1505100108,2018,1
AER1505100108,2019,1
AER1505100108,2020,1
AER1505100108,2021,1
AER1505100108,2022,1
AER5V1505111,2005,1
AER5V1505111,2008,1
AER5V1505111,2009,1
AER5V1505111,2010,1
AER5V1505111,2011,1
AER5V1505111,2012,1
AER5V1505111,2013,1
AERM62700411,2008,1
AERM62700411,2009,1
AERM62700411,2010,1
AERM62700411,2011,1
AERM62700411,2012,1
AERM62700411,2013,1
AERM62700411,2014,1
AERM62700411,2015,1
AES641510611,2004,1
AES641510611,2005,1
AES641510611,2006,1
AES641510611,2008,1
AES641510611,2009,1
AES641510611,2010,1
AES641510611,2011,1
AES641510611,2012,1
AES8A0900511,2005,1
AES8A0900511,2006,1
AES8A0900511,2007,1
AES8A0900511,2011,1
AES8A0900511,2013,1
AES8A1403911,2016,1
AESL70400311,2007,1
AESL70400311,2012,1
AESL70400311,2014,1
AESL70400311,2015,1
AESL70400311,2017,1
AESL70400311,2018,1
AESL70400311,2019,1
AESL70400311,2020,1
AESL70400311,2021,1
AET1605300706,2014,1
AET1605300706,2015,1
AET1605300706,2016,1
AET1605300706,2017,1
AET1605300706,2018,1
AET1605300706,2019,1
AET1605300706,2020,1
AET1605300706,2021,1
AET1605300706,2022,1
