CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
26030212231000053000000000U1,MINCO MINERO DE COAHUILA SA DE CV,11 a 30 personas,Sonora,Hermosillo,Hermosillo,2015,2020-11,212231,Minería de cobre,29.09743557,-110.94049607
26030212232000014000039560M1,OFICINA MINERA PIEDRA AZUL,0 a 5 personas,Sonora,Hermosillo,Hermosillo,3009,2020-04,212232,Minería de plomo y zinc,29.10064027,-110.9408188
26030213119000632101055092M8,MINA LA MESA DEL PROGRESO,11 a 30 personas,Sonora,Hermosillo,Hermosillo,1888,2010-07,212221,Minería de oro,29.10482602,-110.94691748
26030213119000933000024115M0,MINERA COLUMBIA DE MEXICO,0 a 5 personas,Sonora,Hermosillo,Hermosillo,5698,2019-11,212221,Minería de oro,29.07877678,-110.99176639
26030325180000032000011483S8,MOLYMEX SA DE CV,6 a 10 personas,Sonora,Hermosillo,Hermosillo,2956,2020-11,212231,Minería de cobre,29.08478133,-110.98281192
26036212221000011000000000S7,MINERA MERCEDES MINERALES,0 a 5 personas,Sonora,Magdalena,Magdalena de Kino,455,2013 07,212221,Minería de oro,30.63476427,-110.96282149
26036212221000021001024115S6,MINERA COLUMBIA,251 y más personas,Sonora,Magdalena,El Alamito,328,2019-04,212221,Minería de oro,30.66102028,-111.019625
26038212232000024000039560S0,MINERA PIEDRA AZUL,31 a 50 personas,Sonora,Moctezuma,Las Arenillas,337,2020-11,212232,Minería de plomo y zinc,29.741522,-109.75269
26041212231000033000011515S0,MINA CONCENTRADORA,251 y más personas,Sonora,Nacozari de García,El Ranchito,351,2020-04,212231,Minería de cobre,30.33806976,-109.54764087
26041212231000043000011515S9,OFICINA DE SERVICIOS,0 a 5 personas,Sonora,Nacozari de García,El Ranchito,351,2020-04,212231,Minería de cobre,30.34994766,-109.56995026
26041212231000053000011515S8,COMEDOR COLONIA EL RANCHITO,0 a 5 personas,Sonora,Nacozari de García,El Ranchito,351,2020-04,212231,Minería de cobre,30.34958484,-109.56957311
26041212231000063000011515S7,CASINO,0 a 5 personas,Sonora,Nacozari de García,El Ranchito,351,2020-04,212231,Minería de cobre,30.35097781,-109.57028178
26041212231000073000011515S6,GIMNASIO EL RANCHITO,0 a 5 personas,Sonora,Nacozari de García,El Ranchito,351,2020-04,212231,Minería de cobre,30.35099492,-109.57025288
26041212231000083000011515S5,AUDITORIO DE USOS MULTIPLES,0 a 5 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-04,212231,Minería de cobre,30.36065777,-109.62219232
26041212231000093000011515S4,CLUB SOCIAL,0 a 5 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-04,212231,Minería de cobre,30.36033615,-109.62287705
26041212231000103000011515S1,EXCONTADURIA DE LA CARIDAD,0 a 5 personas,Sonora,Nacozari de García,La Caridad (Fracción G),351,2020-04,212231,Minería de cobre,30.36087591,-109.61887692
26041212231000113000011515S0,CLUB SOCIAL,0 a 5 personas,Sonora,Nacozari de García,El Abanico,351,2020-04,212231,Minería de cobre,30.36029932,-109.57805958
