estado,municipio,cve_ent
Jalisco,Ayotlan,14
Jalisco,Ayotlan,14
Jalisco,Ayotlan,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,Bolanos,14
Jalisco,EL Arenal,14
Jalisco,EL Arenal,14
Jalisco,EL Arenal,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,San Martin de Bolanos,14
Jalisco,Teocuitatlan de Corona,14
Jalisco,Teocuitatlan de Corona,14
Jalisco,Teocuitatlan de Corona,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
Jalisco,Tlaquepaque,14
